Artery,ANN,SVM,Tree,NB
59 lmt,0.9101123595505618,0.8876404494382022,0.8764044943820225,0.5168539325842697
60 ladprox,0.7640449438202247,0.7528089887640449,0.6741573033707865,0.1348314606741573
61 laddist,0.7528089887640449,0.7078651685393258,0.6966292134831461,0.07865168539325842
62 diag,0.9213483146067416,0.8539325842696629,0.8426966292134831,0.42696629213483145
63 cxmain,0.8089887640449438,0.7865168539325843,0.7303370786516854,0.21348314606741572
64 ramus,0.9550561797752809,0.8876404494382022,0.9775280898876404,0.42696629213483145
65 om1,0.9213483146067416,0.8651685393258427,0.8651685393258427,0.33707865168539325
66 om2,0.9775280898876404,0.9775280898876404,0.9662921348314607,0.9662921348314607
67 rcaprox,0.8314606741573034,0.7640449438202247,0.7078651685393258,0.25842696629213485
68 rcadist,0.9101123595505618,0.8651685393258427,0.8764044943820225,0.14606741573033707
