ANN,SVM,Tree,NB
0.9333333333333333,0.8666666666666667,0.9166666666666666,0.4166666666666667
0.5166666666666667,0.5,0.5666666666666667,0.45
0.8333333333333334,0.75,0.6833333333333333,0.35
0.7666666666666667,0.65,0.7666666666666667,0.35
0.5833333333333334,0.5666666666666667,0.48333333333333334,0.4
0.8666666666666667,0.8,0.9666666666666667,0.4
0.65,0.65,0.65,0.25
0.9333333333333333,0.9,0.8833333333333333,0.3333333333333333
0.6333333333333333,0.5666666666666667,0.6333333333333333,0.48333333333333334
0.8333333333333334,0.8166666666666667,0.7666666666666667,0.2833333333333333
