,ANN,SVM,Tree
0,0.9277777777777778,0.9222222222222223,0.8944444444444445
1,0.7333333333333333,0.7055555555555556,0.6611111111111111
2,0.7222222222222222,0.7777777777777778,0.6833333333333333
3,0.8277777777777777,0.9,0.8388888888888889
4,0.7388888888888889,0.7,0.5777777777777777
5,0.8722222222222222,0.8777777777777778,0.9111111111111111
6,0.8222222222222222,0.8833333333333333,0.7888888888888889
7,0.9611111111111111,0.9388888888888889,0.9111111111111111
8,0.6666666666666666,0.7166666666666667,0.6777777777777778
9,0.8666666666666667,0.8722222222222222,0.7833333333333333
